epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.099,1.33859,3.32017,1.22017,0.00064,0.18056,0.00263,0.00159,2.42572,4.27884,1.68251,0.0964,0.0004,0.0004
2,64.7091,1.58376,3.03674,1.32641,0.00069,0.19444,0.00411,0.00092,2.20133,4.30379,1.96026,0.0918911,0.00089109,0.00089109
3,94.6321,1.847,3.11917,1.51971,0.00085,0.18056,0.00114,0.00047,2.46747,4.43493,2.92274,0.0873723,0.00137228,0.00137228
4,125.491,1.87871,2.57497,1.6551,0.01812,0.31528,0.02608,0.00826,2.41961,4.60342,3.78712,0.0828436,0.00184357,0.00184357
5,155.029,1.7484,2.46259,1.55668,0.26623,0.07639,0.00503,0.00126,2.80544,6.23198,9.29947,0.078305,0.00230496,0.00230496
6,184.164,1.82905,2.48656,1.58181,0.52527,0.0625,0.00933,0.0017,3.60074,5.94752,13.5345,0.0737565,0.00275645,0.00275645
7,212.912,1.77849,2.12643,1.59633,0.00074,0.14583,0.00212,0.00085,2.88836,4.40099,4.55178,0.069198,0.00319804,0.00319804
8,241.306,1.72696,1.90992,1.56197,0.12827,0.07639,0.016,0.00885,3.06154,6.95168,7.10121,0.0646297,0.00362973,0.00362973
9,270.063,1.6145,1.84046,1.40569,0.00143,0.09028,0.00092,0.00039,3.28355,453.106,22.182,0.0600515,0.00405152,0.00405152
10,299.237,1.62586,2.05803,1.46756,0.00063,0.11806,0.00039,0.00015,3.33372,1181.69,32.3944,0.0554634,0.00446341,0.00446341
11,330.757,1.60652,1.77641,1.51849,0.00039,0.08333,0.00032,0.00011,3.62324,9529.27,48.8436,0.0508654,0.0048654,0.0048654
12,364.615,1.63052,1.78332,1.44423,0.0003,0.06944,0.00031,0.00016,3.72143,17360.2,36.6583,0.0462575,0.00525749,0.00525749
13,398.237,1.65486,1.9162,1.53809,6e-05,0.01389,3e-05,0,4.01604,22180.7,42.915,0.0416397,0.00563968,0.00563968
14,428.719,1.56569,1.74084,1.51462,0.25049,0.07639,0.00037,0.00019,3.75029,10567.2,31.891,0.037012,0.00601197,0.00601197
15,458.016,1.61623,1.67224,1.50874,0.0047,0.24028,0.00475,0.00179,3.88021,5759.52,77.8245,0.0323744,0.00637436,0.00637436
16,487.658,1.74437,1.60697,1.54247,0.00068,0.13194,0.00061,0.00019,3.77539,4314.57,72.7141,0.0277268,0.00672685,0.00672685
17,516.997,1.57171,1.63311,1.37853,0.00263,0.20417,0.00197,0.00043,3.9682,793.796,18.1115,0.0230694,0.00706944,0.00706944
18,546.273,1.6412,1.60287,1.44372,0.00393,0.16528,0.00204,0.00075,3.56134,96.914,9.80402,0.0184021,0.00740213,0.00740213
19,575.179,1.63172,1.5514,1.41765,0.0022,0.21528,0.00178,0.00057,3.44178,43.127,7.5778,0.0137249,0.00772492,0.00772492
20,604.506,1.60025,1.58717,1.46844,0.02185,0.26458,0.01423,0.00573,2.39139,88.299,3.42304,0.00903781,0.00803781,0.00803781
21,633.464,1.68823,1.8594,1.72843,0.19085,0.23264,0.24079,0.10284,2.15661,18.772,2.88033,0.00802,0.00802,0.00802
22,662.931,1.50666,1.58023,1.41391,0.29871,0.33889,0.2521,0.13134,2.08278,11.4818,2.37034,0.007921,0.007921,0.007921
23,692.368,1.44579,1.40075,1.3219,0.14376,0.14444,0.12332,0.08185,2.06218,23.2939,2.42923,0.007822,0.007822,0.007822
24,722.371,1.55959,1.40875,1.43429,0.09883,0.29028,0.11103,0.07569,2.15941,51.7031,2.5298,0.007723,0.007723,0.007723
25,751.658,1.40966,1.33044,1.30453,0.34575,0.2625,0.05126,0.02607,2.70331,35.5702,3.42011,0.007624,0.007624,0.007624
26,780.93,1.50558,1.46783,1.35493,0.28297,0.15625,0.08306,0.03904,2.41484,30.7063,3.04479,0.007525,0.007525,0.007525
