epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.548,1.66801,3.04047,1.44368,0.01223,0.22576,0.00923,0.00215,3.15544,147.725,4.39585,0.0928,0.0008,0.0008
2,804.858,1.91912,2.8249,1.74205,0.01223,0.22576,0.00923,0.00215,5.83462,6.60421e+12,8.00926e+09,0.0846832,0.00168317,0.00168317
3,1196.02,1.96093,2.59104,1.77239,0.01223,0.22576,0.00923,0.00215,4.33602,6.3844e+14,1.15218e+13,0.0765485,0.00254852,0.00254852
4,1590.36,1.95388,2.60656,1.75769,0.00069,0.11364,0.00064,0.00023,3.99598,8.78205e+17,3.58582e+16,0.0683961,0.00339605,0.00339605
5,1988.27,1.83838,2.25066,1.66289,0.00077,0.11364,0.00073,0.00019,4.24702,1.64125e+18,1.26744e+16,0.0602258,0.00422576,0.00422576
6,2378.61,1.86708,2.00935,1.71326,0.00033,0.0303,0.00027,0.0001,5.10633,1.67995e+16,1.04723e+14,0.0520377,0.00503765,0.00503765
7,2765.92,1.88436,1.995,1.70392,0.00078,0.11364,0.00059,0.00025,3.93691,7.96058e+13,4.21841e+11,0.0438317,0.00583172,0.00583172
8,3159.08,1.71088,1.8018,1.58586,0.00025,0.03788,0.00018,7e-05,5.03876,1.34454e+10,4.13695e+07,0.035608,0.00660797,0.00660797
9,3556.91,1.6988,1.82355,1.64991,0.00025,0.02273,0.00017,7e-05,4.84125,2.95532e+09,1.01903e+07,0.0273664,0.0073664,0.0073664
10,3948.42,1.58093,1.66737,1.50254,0.00028,0.01515,0.00018,6e-05,2.24709,6.36956e+08,1.9263e+06,0.019107,0.00810701,0.00810701
11,4339.12,1.5973,1.56856,1.50404,0.00047,0.06061,0.00047,9e-05,4.28096,1.91855e+07,266284,0.0108298,0.0088298,0.0088298
